District,Member,Party,Residence,Borough,Elected,Term limited,Map
1,Margaret Chin,Democratic,Financial District,Manhattan,2009,2021,
2,Carlina Rivera,Democratic,Lower East Side,Manhattan,2017,2025,
3,Corey Johnson,Democratic,Chelsea,Manhattan,2013,2021,
4,Keith Powers,Democratic,Murray Hill,Manhattan,2017,2025,
5,Ben Kallos,Democratic,Upper East Side,Manhattan,2013,2021,
6,Helen Rosenthal,Democratic,Upper West Side,Manhattan,2013,2021,
7,Mark D. Levine,Democratic,Washington Heights,Manhattan,2013,2021,
8,Diana Ayala,Democratic,East Harlem,The Bronx,2017,2025,
9,Bill Perkins,Democratic,Central Harlem,Manhattan,2017*,2025,
10,Ydanis Rodríguez,Democratic,Inwood,Manhattan,2009,2021,
11,Eric Dinowitz,Democratic,Riverdale,The Bronx,2021,,
12,Kevin Riley,Democratic,Co-Op City,The Bronx,2020*,2029,
13,Mark Gjonaj,Democratic,Eastchester,The Bronx,2017,2025,
14,Fernando Cabrera,Democratic,Kingsbridge,The Bronx,2009,2021,
15,Oswald Feliz,Democratic,,The Bronx,2021,,
16,Vanessa Gibson,Democratic,Morris Heights,The Bronx,2013,2021,
17,Rafael Salamanca,Democratic,Longwood,The Bronx,2016*,2025,
18,Rubén Díaz Sr.,Democratic,Parkchester,The Bronx,2017,2025,
19,Paul Vallone,Democratic,Bayside,Queens,2013,2021,
20,Peter Koo,Democratic,Flushing,Queens,2009,2021,
21,Francisco Moya,Democratic,Corona,Queens,2017,2025,
22,Vacant,,,Queens,,,
23,Barry Grodenchik,Democratic,Hollis Hills,Queens,2015*,2025,
24,James Gennaro,Democratic,Jamaica Estates,Queens,2021*,2021,
25,Danny Dromm,Democratic,Jackson Heights,Queens,2009,2021,
26,Jimmy Van Bramer,Democratic,Sunnyside Gardens,Queens,2009,2021,
27,Daneek Miller,Democratic,Queens Village,Queens,2013,2021,
28,Adrienne Adams,Democratic,Jamaica,Queens,2017*,2025,
29,Karen Koslowitz,Democratic,Forest Hills,Queens,2009,2021,
30,Robert Holden,Democratic[a],Middle Village,Queens,2017,2025,
31,Selvena Brooks-Powers,Democratic,,Queens,2021*,2029,
32,Eric Ulrich,Republican,Ozone Park,Queens,2009*,2021,
33,Stephen Levin,Democratic,Greenpoint,Brooklyn,2009,2021,
34,Antonio Reynoso,Democratic,Williamsburg,Brooklyn,2013,2021,
35,Laurie Cumbo,Democratic,Clinton Hill,Brooklyn,2013,2021,
36,Robert Cornegy,Democratic,Bedford Stuyvesant,Brooklyn,2013,2021,
37,Darma Diaz,Democratic,,Brooklyn,2020*,2029,
38,Carlos Menchaca,Democratic,Red Hook,Brooklyn,2013,2021,
39,Brad Lander,Democratic,Park Slope,Brooklyn,2009,2021,
40,Mathieu Eugene,Democratic,Flatbush,Brooklyn,2007*,2021,
41,Alicka Ampry-Samuel,Democratic,Brownsville,Brooklyn,2017,2025,
42,Inez Barron,Democratic,East New York,Brooklyn,2013,2021,
43,Justin Brannan,Democratic,Bay Ridge,Brooklyn,2017,2025,
44,Kalman Yeger,Democratic,Borough Park,Brooklyn,2017,2025,
45,Farah Louis,Democratic,Flatbush,Brooklyn,2019*,2029,
46,Alan Maisel,Democratic,Canarsie,Brooklyn,2013,2021,
47,Mark Treyger,Democratic,Bensonhurst,Brooklyn,2013,2021,
48,Vacant,,Midwood,Brooklyn,,,
49,Debi Rose,Democratic,Mariners Harbor,Staten Island,2009,2021,
50,Steven Matteo,Republican,Westerleigh,Staten Island,2013,2021,
51,Joseph Borelli,Republican,Annadale,Staten Island,2015*,2025,
